LR x Evidences,Sentence count,Score,Alignment Ratio,,Attention x Evidences,Sentence count,Score,Alignment Ratio,,LIME x Evidences,Sentence count,Score,Alignment Ratio,,LIG x Evidences,Sentence count,Score,Alignment Ratio,,LxA x Evidences,Sentence count,Score,Alignment Ratio
central,12,0.8333333333,,,throughout,19,0.7894736842,,,throughout,19,0.7894736842,,,dedicated,7,0.2857142857,,,human,35,0.7142857143,
tradition,11,0.7272727273,,,remains,14,0.7857142857,,,remains,14,0.7857142857,,,images,7,0.7142857143,,,sports,13,0.1538461538,
loved,14,0.7142857143,,,seemed,22,0.2272727273,,,seemed,22,0.2272727273,,,kid,17,0.7647058824,,,structure,8,0.25,
intelligent,19,0.7368421053,,,talk,14,0.2142857143,,,talk,14,0.2142857143,,,constant,7,0.2857142857,,,15,7,0.7142857143,
spielberg,15,0.8,,,problem,33,0.2727272727,,,problem,33,0.2727272727,,,fit,9,0.7777777778,,,football,9,0.2222222222,
force,18,0.7777777778,,,battle,14,0.7142857143,,,battle,14,0.7142857143,,,spielberg,15,0.8,,,provided,8,0.25,
adult,13,0.7692307692,,,independent,12,0.75,,,independent,12,0.75,,,grasp,9,0.8888888889,,,lake,7,0.7142857143,
stunning,14,0.8571428571,,,wrote,22,0.2727272727,,,wrote,22,0.2727272727,,,stunning,14,0.8571428571,,,war,42,0.7142857143,
,,,,,president,11,0.7272727273,,,president,11,0.7272727273,,,struggle,9,0.8888888889,,,average,17,0.2941176471,
,,,,,artist,14,0.7142857143,,,artist,14,0.7142857143,,,mouth,10,0.9,,,sitting,10,0.2,
,,,,,involved,22,0.2727272727,,,involved,22,0.2727272727,,,laid,6,1,,,fast,20,0.25,
,,,,,episode,15,0.2666666667,,,mission,19,0.2105263158,,,33,,,,,throughout,19,0.7894736842,
,,,,,hear,11,0.8181818182,,,episode,15,0.2666666667,,,,,,,,remains,14,0.7857142857,
,,,,,1997,21,0.7142857143,,,hear,11,0.8181818182,,,,,,,,seemed,22,0.2272727273,
,,,,,hold,12,0.25,,,1997,21,0.7142857143,,,,,,,,talk,14,0.2142857143,
,,,,,despite,25,0.28,,,hold,12,0.25,,,,,,,,appearance,7,0.1428571429,
,,,,,chris,25,0.28,,,despite,25,0.28,,,,,,,,problem,33,0.2727272727,
,,,,,figure,11,0.2727272727,,,chris,25,0.28,,,,,,,,battle,14,0.7142857143,
,,,,,natural,11,0.7272727273,,,figure,11,0.2727272727,,,,,,,,allow,7,0.2857142857,
,,,,,theatre,13,0.2307692308,,,natural,11,0.7272727273,,,,,,,,independent,12,0.75,
,,,,,direct,11,0.8181818182,,,theatre,13,0.2307692308,,,,,,,,shown,7,0.2857142857,
,,,,,mary,15,0.7333333333,,,direct,11,0.8181818182,,,,,,,,wrote,22,0.2727272727,
,,,,,musical,13,0.7692307692,,,musical,13,0.7692307692,,,,,,,,walk,8,0.125,
,,,,,interest,12,0.25,,,interest,12,0.25,,,,,,,,president,11,0.7272727273,
,,,,,heavy,14,0.1428571429,,,heavy,14,0.1428571429,,,,,,,,artist,14,0.7142857143,
,,,,,song,12,0.75,,,song,12,0.75,,,,,,,,track,6,0.1666666667,
,,,,,fine,17,0.7058823529,,,fine,17,0.7058823529,,,,,,,,post,6,0.1666666667,
,,,,,moving,11,0.7272727273,,,moving,11,0.7272727273,,,,,,,,involved,22,0.2727272727,
,,,,,forced,15,0.7333333333,,,forced,15,0.7333333333,,,,,,,,mission,19,0.2105263158,
,,,,,master,18,0.7222222222,,,master,18,0.7222222222,,,,,,,,episode,15,0.2666666667,
,,,,,front,11,0.7272727273,,,front,11,0.7272727273,,,,,,,,hear,11,0.8181818182,
,,,,,central,12,0.8333333333,,,central,12,0.8333333333,,,,,,,,host,6,0.1666666667,
,,,,,loved,14,0.7142857143,,,loved,14,0.7142857143,,,,,,,,1997,21,0.7142857143,
,,,,,mike,13,0.7692307692,,,mike,13,0.7692307692,,,,,,,,greater,7,0.1428571429,
,,,,,force,18,0.7777777778,,,force,18,0.7777777778,,,,,,,,department,9,0.2222222222,
,,,,,private,16,0.75,,,private,16,0.75,,,,,,,,hold,12,0.25,
,,,,,normal,11,0.8181818182,,,normal,11,0.8181818182,,,,,,,,species,9,0.2222222222,
,,,,,100,18,0.7222222222,,,100,18,0.7222222222,,,,,,,,despite,25,0.28,
,,,,,books,13,0.9230769231,,,books,13,0.9230769231,,,,,,,,figure,11,0.2727272727,
,,,,,history,21,0.8095238095,,,history,21,0.8095238095,,,,,,,,miss,8,0.25,
,,,,,709,,,,,led,11,0.8181818182,,,,,,,,gold,7,0.7142857143,
,,,,,,,,,,713,,,,,,,,,,natural,11,0.7272727273,
,,,,,,,,,,,,,,,,,,,,meant,7,0.2857142857,
,,,,,,,,,,,,,,,,,,,,theatre,13,0.2307692308,
,,,,,,,,,,,,,,,,,,,,attack,8,0.125,
,,,,,,,,,,,,,,,,,,,,washington,7,0.8571428571,
,,,,,,,,,,,,,,,,,,,,poor,7,0.1428571429,
,,,,,,,,,,,,,,,,,,,,direct,11,0.8181818182,
,,,,,,,,,,,,,,,,,,,,expected,8,0.25,
,,,,,,,,,,,,,,,,,,,,rate,6,0.8333333333,
,,,,,,,,,,,,,,,,,,,,test,6,0,
,,,,,,,,,,,,,,,,,,,,terms,7,0.7142857143,
,,,,,,,,,,,,,,,,,,,,2000,7,0.1428571429,
,,,,,,,,,,,,,,,,,,,,cross,7,0.2857142857,
,,,,,,,,,,,,,,,,,,,,musical,13,0.7692307692,
,,,,,,,,,,,,,,,,,,,,interest,12,0.25,
,,,,,,,,,,,,,,,,,,,,foot,8,0.25,
,,,,,,,,,,,,,,,,,,,,heavy,14,0.1428571429,
,,,,,,,,,,,,,,,,,,,,song,12,0.75,
,,,,,,,,,,,,,,,,,,,,fine,17,0.7058823529,
,,,,,,,,,,,,,,,,,,,,memory,7,0.7142857143,
,,,,,,,,,,,,,,,,,,,,moving,11,0.7272727273,
,,,,,,,,,,,,,,,,,,,,forced,15,0.7333333333,
,,,,,,,,,,,,,,,,,,,,majority,8,0.875,
,,,,,,,,,,,,,,,,,,,,master,18,0.7222222222,
,,,,,,,,,,,,,,,,,,,,foreign,7,0.7142857143,
,,,,,,,,,,,,,,,,,,,,front,11,0.7272727273,
,,,,,,,,,,,,,,,,,,,,available,6,0.8333333333,
,,,,,,,,,,,,,,,,,,,,german,9,0.7777777778,
,,,,,,,,,,,,,,,,,,,,overall,6,0.8333333333,
,,,,,,,,,,,,,,,,,,,,pain,6,0.8333333333,
,,,,,,,,,,,,,,,,,,,,central,12,0.8333333333,
,,,,,,,,,,,,,,,,,,,,decision,7,0.7142857143,
,,,,,,,,,,,,,,,,,,,,service,7,0.2857142857,
,,,,,,,,,,,,,,,,,,,,mike,13,0.7692307692,
,,,,,,,,,,,,,,,,,,,,al,7,0.8571428571,
,,,,,,,,,,,,,,,,,,,,individual,6,0.1666666667,
,,,,,,,,,,,,,,,,,,,,station,9,0.8888888889,
,,,,,,,,,,,,,,,,,,,,force,18,0.7777777778,
,,,,,,,,,,,,,,,,,,,,managed,8,0.125,
,,,,,,,,,,,,,,,,,,,,travel,8,0.75,
,,,,,,,,,,,,,,,,,,,,provides,7,0.7142857143,
,,,,,,,,,,,,,,,,,,,,weight,6,0.1666666667,
,,,,,,,,,,,,,,,,,,,,italian,9,0.8888888889,
,,,,,,,,,,,,,,,,,,,,era,10,0.9,
,,,,,,,,,,,,,,,,,,,,private,16,0.75,
,,,,,,,,,,,,,,,,,,,,normal,11,0.8181818182,
,,,,,,,,,,,,,,,,,,,,study,7,0.8571428571,
,,,,,,,,,,,,,,,,,,,,100,18,0.7222222222,
,,,,,,,,,,,,,,,,,,,,hall,8,0.75,
,,,,,,,,,,,,,,,,,,,,books,13,0.9230769231,
,,,,,,,,,,,,,,,,,,,,history,21,0.8095238095,
,,,,,,,,,,,,,,,,,,,,raised,6,0.8333333333,
,,,,,,,,,,,,,,,,,,,,led,11,0.8181818182,
,,,,,,,,,,,,,,,,,,,,mouth,10,0.9,
,,,,,,,,,,,,,,,,,,,,developed,6,0.8333333333,
,,,,,,,,,,,,,,,,,,,,30,7,0.8571428571,
,,,,,,,,,,,,,,,,,,,,119,,,
